id,emp1,emp2,type
1308,Doctor's Medical Center,Doctor's Medical Center,NULL
1309,Doctor's Medical Center,Doctors Medical Center,NULL
1310,DocuSign,DocuSign,
1311,Dollar Travel Inc.,Dollar Travel Inc.,NULL
1312,Domantay Rehabilitation Services,Domantay Rehabilitation Services,
1313,Dominican University,Dominican,
1314,Dominican University,Dominican University,
1315,Domus Development,Domus Development,NULL
1316,Don J. Hess and Associates,Don J. Hess and Associates,
1317,Donahue Fitzgerald LLP,Donahue Fitzgerald,
1318,Donahue Fitzgerald LLP,DONAHUE FITZGERALD,
1319,Donahue Fitzgerald LLP,Donahue Fitzgerald LLP,
1320,Donahue Fitzgerald LLP,DONAHUE FITZGERALD LLP,
1321,Donahue Fitzgerald LLP,"Donahue, Fitzgerald LLC",
1322,"Donahue, Gallagher, Woods, LLP","Donahue Gallagher Woods, LLP",
1323,"Donahue, Gallagher, Woods, LLP",DONAHUE GALLAGHER WOODS,
1324,"Donahue, Gallagher, Woods, LLP",donahue gallagher woods llp,NULL
1325,"Donahue, Gallagher, Woods, LLP","Donahue, Gallagher, Woods",NULL
1326,"Donahue, Gallagher, Woods, LLP","Donahue, Gallagher, Woods, LLP",NULL
1327,"Donahue, Gallagher, Woods, LLP",Donahue Gallagher Woods,NULL
1328,"Donahue, Gallagher, Woods, LLP",Donahue Gallagher Woods LLP,NULL
1329,Donation Box,Donation Box,
1330,Donivan & Maggiora Co.,Donivan & Maggiora Co.,
1331,Donivan & Maggiora Co.,Donivan and Maggiora Co.,
1332,Donjon Group,Donjon Group,
1333,Doppelmayr Cable Car,Doppelmayr Cable Car,
1334,Doral Academy Preparatory,Doral Academy Preparatory,
1335,Dorian Webb LIfestyle,Dorian Webb LIfestyle,
1336,Dorian Webb LIfestyle,dorian webb lifestyle,
1337,"Doric Realty, Inc.","Doric Realty, Inc.",NULL
1338,Dornbusch Associates,Dornbusch Associates,
1339,"Dostart Development Company, LLC","Dostart Development Company, LLC",NULL
1340,"Douglas Parking, LLC",Douglas Parking LLC,NULL
1341,"Douglas Parking, LLC","Douglas Parking, LLC",
1342,"Downey Brand, LLP","Downey Brand, LLP",
1343,Downtown Merchants,Downtown Merchants,
1344,DP Security,DP Security,
1345,DPR Construction,DPR Construction,
1346,Dr Librada C Yamat Dental,Dr Librada C Yamat Dental,
1347,Dr. David Kiteley Ministries,Dr. David Kiteley Ministries,
1348,"Dr. John Maguire, DDS","Dr. John Maguire, DDS",NULL
1349,Dr. Liz Dobbins,Dr. Liz Dobbins,
1350,Dr. Roger Mendelson MD,Dr. Roger Mendelson MD,
1351,Dr. Stephen G. Silver,Dr. Stephen G. Silver,NULL
1352,Drake Construction,Drake Construction,
1353,Dream Builders,Dream Builders,
1354,"Dreisbach Enterprises, Inc.",Dreisbach Enterprises,
1355,"Dreisbach Enterprises, Inc.",Dreisback Enterprises,NULL
1356,"Dreisbach Enterprises, Inc.","Dreisbach Enterprises, Inc.",NULL
1357,"Dreisbach Enterprises, Inc.",Dresiback Enterprises,NULL
1358,Drew School,Drew School,
1359,Drifftwood Apartments,Drifftwood Apartments,
1360,DSM Biomedical,DSM Biomedical,
1361,DTS Consulting Services,DTS Consulting Services,NULL
1362,Duane Morris,Duane Morris,
1363,Duane Morris,Duane Morris LLP Government Committee,
1364,Duarte for School Board 2013,Duarte for School Board 2013,
1365,Dublin USD/City of Dublin,Dublin USD/City of Dublin,
1366,"Duck's Nest, Inc.","Duck's Nest, Inc.",
1367,"Dudnick Detwiler Rivin & Stikker, LLP","Dudnick Detwiler Rivin & Stikker, LLP",
1368,Dutra Cerro Graden,Dutra Cerro Graden,
1369,DW Strategic Solutions,DW Strategic Solutions,
1370,Dwares Group,Dwares Group,
1371,Dwulet & Dwulet,Dwulet & Dwulet,NULL
1372,E Center Head Start,E Center Head Start,
1373,E-Z Marking Products,E-Z Marking Products,
1374,"E.G. Righellis, DDS","E.G. Righellis, DDS",
1375,E.T SECURITY,E.T SECURITY,
1376,E2 Consulting Engineers,E2 Consulting Engineers,
1377,Eagle Capital,Eagle Capital,NULL
1378,Eagle Environmental & Construction,Eagle Environmental & Construction,
1379,Earl James,Earl James,NULL
1380,Early Edge California,Early Edge California,
1381,East 18th Street Associates,East 18th St Associates,
1382,East 18th Street Associates,East 18th Street Associates,
1383,East Bay Agency for Children,East Bay Agency for Children,
1384,East Bay Alliance,East Bay Alliance,
1385,East Bay Alliance for a Sustainable Economy,East Bay Alliance for a Sustainable Economy,
1386,East Bay Alliance for a Sustainable Economy,East Bay Alliance for a Sustainable Economy Committee to Lift Up Oakland,
1387,East Bay Alliance for a Sustainable Economy,East Bay Alliance for a Sustainable Economy Committee for Yes on Measure FF,
1388,East Bay Asian Local Development Corporation,East Bay Asian Local Development Corp,NULL
1389,East Bay Asian Local Development Corporation,East Bay Asian Local Development Corp.,
1390,East Bay Asian Local Development Corporation,East Bay Asian Local Development Corporation,
1391,East Bay Asian Youth Center,East Bay Asian Youth Center,
1392,East Bay Automotive Machinists Local No. 1546,East Bay Automotive Machinists Local No. 1546,Union
1393,East Bay Automotive Machinists Local No. 1546,East Bay Automotive Machinists Local No. 1546 Legislative Action Committee Id #822784,Union
1394,East Bay Bicyle Coalition,East Bay Bicyle Coalition,NULL
1395,EAST BAY CHARTER CONNECT,EAST BAY CHARTER CONNECT,
1396,East Bay Children's Law Offices,East Bay Children's Law Offices,
1397,East Bay Children's Law Offices,East Bay Childrens Law Offices,
1398,East Bay Communication Law Center,East Bay Communication Law Center,NULL
1399,EAST BAY COMMUNITY FOUNDATION,EAST BAY COMMUNITY FOUNDATION,
1400,East Bay Community Law Center,East Bay Community Law Center,NULL
1401,East Bay Economics,East Bay Economics,NULL
1402,East Bay Eye Center,East Bay Eye Center,NULL
1403,East Bay Housing Association,East Bay Housing Association,NULL
1404,East Bay Housing Organization,East Bay Housing Organization,
1405,East Bay Municipal Utility District,East Bay Municipal Utility District,NULL
1406,East Bay Municipal Utility District,EBMUD,NULL
1407,East Bay Organizing Committee,East Bay Organizing Committee,
1408,East Bay Pediatrics,East Bay Pediatrics,
1409,East Bay Perinatal,East Bay Perinatal,
1410,East Bay Physicians Medical Group,East Bay Physicians Medical Group,NULL
1411,East Bay Regional Park District,East Bay Regional Park District,NULL
1412,East Bay Regional Parks,East Bay Regional Parks,
1413,East Bay Rental Housing Association PAC,East Bay Rental Housing Associatin PAC,PAC
1414,East Bay Rental Housing Association PAC,East Bay Rental Housing Association PAC,PAC
1415,East Bay Rental Housing Association PAC,East Bay Rental Housing PAC,PAC
1416,"East Bay services Group, Inc","East Bay services Group, Inc",
1417,East Bay Sotheby Realty,East Bay Sotheby Realty,NULL
1418,East Bay Sotheby Realty,East Bay Sotheby's,
1419,East Bay Sotheby Realty,East Bay Sotheby's International Realty,
1420,East Bay Sotheby Realty,East Bay Sothebys International Realty,
1421,East Bay Sotheby Realty,Search Results      East Bay Sotheby's International Realty,
1422,East Bay Wu Yi Benevolent Family Association,East Bay Wu Yi Benevolent Family Association,
1423,East Oakland Boxing Association,East Oakland Boxing Association,
1424,East West Partners,East West Partners,NULL
1425,Eastbay Aluminum Tank Refabrication,Eastbay Aluminum Tank Refabrication,
1426,EASTBAY Works,EASTBAY Works,
1427,Eastern City Cafe,Eastern City Cafe,NULL
1428,Eastlake Merchants Association,Eastlake Merchants Association,
1429,Ebase,Ebase,
1430,"ebay, Inc.","ebay, Inc.",
1431,EBR SCHOOL SYSTEM,EBR SCHOOL SYSTEM,
1432,"Ecco Construction, Inc.","Ecco Construction, Inc.",NULL
1433,Eco Districts,Eco Districts,
1434,Ecoconsult,Ecoconsult,
1435,Economy Lumber,Economy Lumber,
1436,Economy Lumber,ECONOMY LUMBER COMPANY OAKLAND,NULL
1437,Economy Trucking,Economy Trucking,NULL
1438,ED2 International Architects + Planners,ED2 International Architects + Planners,Union
1439,Eddan.com,Eddan.com,NULL
1440,Eden Housing,Eden Housing,
1441,Eden Jewelry & Loan Company,Eden Jewelry & Loan Company,NULL
1442,Eden Medical Center,Eden Medical Center,NULL
1443,"Edgar, Dunn & Company","Edgar, Dunn & Company",
1444,Edgestream Partners LP,Edgestream Partners LP,
1445,EDGEWOOD CENTER,EDGEWOOD CENTER,
1446,Edgewood Center for Children and Families,Edgewood Center for Children and Families,
1447,Edie Irons,Edie Irons,
1448,EdTec,EdTec,
1449,EdTec,EDTEC,
1450,Eduation Services at Wind River,Eduation Services at Wind River,NULL
1451,Education for Change,Education for Change,NULL
1452,Education for Change,EDUCATION FOR CHANGE,
1453,"EDUCATION PIONEERS, INC.",EDUCATION PIONEERS,
1454,"EDUCATION PIONEERS, INC.","EDUCATION PIONEERS, INC.",
1455,Educational Management Solutions,Educational Management Solutions,
1456,Educational Pathways with Antoinette Battiste,Educational Pathways with Antoinette Battiste,NULL
1457,Educational Results Partnership,Educational Results,NULL
1458,Educational Results Partnership,Educational Results Partnership,
1459,Edward Blyden,Edward Blyden,
1460,Edward Henderson,Edward Henderson,
1461,Edward Jones,Edward Jones,
1462,EECO Construction Management,EECO Construction Management,NULL
1463,Effective Partners,Effective Partners,
1464,EFW Partners,EFW Partners,
1465,eHealth Insurance Inc.,eHealth Insurance Inc.,
1466,Eighty Eighty Wholesale Products,Eighty Eighty Wholesale Products,
1467,Eileen Hansen & Associates,Eileen Hansen & Associates,
1468,EJP Corporation,EJP Corporation,
1469,EKI,EKI,
1470,El Camino College,El Camino College,
1471,El Gato Negro Bar,El Gato Negro Bar,
1472,ELAN MANAGEMENT LLC,ELAN MANAGEMENT LLC,
1473,Elcon Corporation,Elcon Corporation,
1474,Electrical Workers Local 505 PAC,Electrical Workers Local 505 PAC,Union
1475,Electrical Workers Local PAC (FPPC# 1304073),Electrical Workers Local PAC (FPPC# 1304073),Union
1476,Electronic Arts,Electronic Arts,
1477,Elegant Roots,Elegant Roots,NULL
1478,Element6,Element6,NULL
1479,Elite Security,Elite Security,NULL
1480,Eliz Glaser Pediatric AIDS Foundation,Eliz Glaser Pediatric AIDS Foundation,
1481,Elizabeth Callaway Trust Service,Elizabeth Callaway Trust Service,NULL
1482,Elko Co. School District,Elko Co. School District,
1483,Ellis Insurance Associates,Ellis Insurance Associates,
1484,Ellis Law Corporation,Ellis Law,
1485,Ellis Law Corporation,Ellis Law Corporation,
1486,Ellwood Commercial Real Estate,Ellwood Commercial Real Estate,
1487,Ellwood Commercial Real Estate,Elwood Commercial Real Estate,NULL
1488,Elyse Rabb Hair & Make-Up,Elyse Rabb Hair & Make-Up,
1489,EMC,EMC,
1490,Emerald Fund,Emerald Fund,
1491,"Emerald Fund, Inc.","Emerald Fund, Inc.",
1492,"Emerald Packaging, Inc.","Emerald Packaging, Inc.",
1493,Emerge America,Emerge America,
1494,Emerge CA,Emerge CA,
1495,Emerson Collective,Emerson Collective,NULL
1496,Emeryville,Emeryville,
1497,"Emotient, Inc","Emotient, Inc",NULL
1498,employed,employed,
1499,ENCORE.ORG,ENCORE.ORG,
1500,endurance fund,endurance fund,
1501,Energy Foundation,Energy Foundation,NULL
1502,Engeo Incorporated,Engeo Incorporated,NULL
1503,engineer,engineer,
1504,Engineered Construction Services,Engineered Construction Services,
1505,Engineers & Scientists of California Local 20 Political Action Committee PAC ID #861160,Engineers & Scientists of California Local 20 Political Action Committee PAC ID #861160,Union
1506,"Engstrom, Lipscomb & Lack","Engstrom, Lipscomb & Lack",NULL
1507,Enterprise Community Partners,Enterprise Community Partners,
1508,Environmental Defense Fund,Environmental Defense Fund,NULL
1509,Environmental Grant Makers Association,Environmental Grant Makers Association,
1510,ENVISION EDUCATION,ENVISION EDUCATION,
1511,ePantry.com,ePantry.com,
1512,"Epicom, Inc.","Epicom, Inc.",
1513,Equality California PAC - All Purpose,Equality California PAC - All Purpose,PAC
1514,EQUIP Liberia,EQUIP Liberia,
1515,Equitable Trust,Equitable Trust,
1516,Equity Community Builders,Equity Community Builders,NULL
1517,Equity Express,Equity Express,
1518,Eric Chung,Eric Chung,NULL
1519,Erma Darling,Erma Darling,
1520,ERN Solutions,ERN Solutions,
1521,Ernest and Julio Gallo Winery,EJ Gallo Winery,
1522,Ernest and Julio Gallo Winery,Ernest and Julio Gallo Winery,NULL
1523,"Ernst & Young, LLP",Ernest and Young LLP,
1524,"Ernst & Young, LLP",Ernst & Young,NULL
1525,"Ernst & Young, LLP",Ernst & Young LLP,NULL
1526,"Ernst & Young, LLP","Ernst & Young, LLP",
1527,Erwin and Muir,Erwin and Muir,NULL
1528,Erwin And Muir,Erwin And Muir,
1529,Esau Herrera,Esau Herrera,
1530,ESC Local 20,ESC Local 20,Union
1531,ETW,ETW,
1532,Eugene Wong,Eugene Wong,NULL
1533,Evans Property Co,Evans Property Co,NULL
1534,Eveo,Eveo,
1535,Everest Summit Inc. DBA Everest Properties,Everest Summit Inc. DBA Everest Properties,
1536,Everett & Jones BBQ,Everett & Jones,
1537,Everett & Jones BBQ,Everett & Jones BBQ,NULL
1538,EVERFI,EVERFI,
1539,Evergreen Baptist Church,Evergreen Baptist Church,NULL
1540,Eviction Defense Center,Eviction Defense Center,NULL
1541,"Evil Empire, Inc.","Evil Empire, Inc.",NULL
1542,Evolving Wisdom,Evolving Wisdom,
1543,Excel Site Services,Excel Site Services,NULL
1544,Excubator,Excubator,
1545,Executive,Executive,NULL
1546,Exit Spivey Professional Realty,Exit Spivey Professional Realty,
1547,"Experience Auto Body, Inc.","Experience Auto Body, Inc.",
1548,Exterran,Exterran,
1549,"EXTTI, Inc","EXTTI, Inc",
1550,EZ Links,EZ Links,
1551,F T I Consulting  Inc.,F T I Consulting  Inc.,NULL
1552,F T I Consulting  Inc.,FTI Consulting,NULL
1553,F T I Consulting  Inc.,"F T I  Consulting, Inc.",NULL
1554,F.E. Jordan Associates Inc.,F.E. Jordan Associates Inc,
1555,F.E. Jordan Associates Inc.,F.E. Jordan Associates Inc.,
1556,Face-2-Face Communications LLC,Face-2-Face Communications LLC,
1557,Facebook,Facebook,
1558,Facebook,"FACEBOOK, INC.",
1559,Facey Medical Group,Facey Medical Group,
1560,"Factor Avenue, LLC","Factor Avenue, LLC",
1561,Fagen Friedman & Fulfrost,Fagen Friedman & Fulfrost,
1562,Fair Trade USA,Fair Trade USA,
1563,Fairview Capital Partners,Fairview Capital Partners,NULL
1564,Fairview Trucking Co. Inc.,Fairview Trucking Co. Inc.,
1565,Faith Network of the East Bay,Faith Network of the East Bay,
1566,Fallon Middle School,Fallon Middle School,NULL
1567,Families and Educators for Public Education,Families and Educators for Public Education,
1568,Families and Educators for Public Education,"Families and Educators for Public Education, sponsored by Great Oakland Public Schools",
1569,Families and Educators for Public Education,FAMILIES AND EDUCATORS FOR PUBLIC EDUCATION  SPONSORED BY GREAT OAKLAND PUBLIC SCHOOLS,
1570,"Family Bridges, Inc.",Family Bridges,
1571,"Family Bridges, Inc.","Family Bridges, Inc.",NULL
1572,Family Paths,Family Paths,
1573,"Family TLC, Inc","Family TLC, Inc",
1574,Fannie Mae,Fannie Mae,
1575,Far East Realty,Far East Realty,NULL
1576,Farella Braun + Martel,Farella Braun + Martel,
1577,FARLEY'S,FARLEY'S,
1578,Farmer Joe's Marketplace Inc.,Farmer Joe's,
1579,Farmer Joe's Marketplace Inc.,Farmer Joe's Marketplace Inc.,
1580,Farmer's Insurance,Farmer's Insurance,NULL
1581,Farmer's Insurance,Farmers Insurance,
1582,Farmers Trust and Savings Bank,Farmers Trust and Savings Bank,
1583,Farmstead Cheesses & Wines,Farmstead Cheese and Wine,
1584,Farmstead Cheesses & Wines,Farmstead Cheesses & Wines,NULL
1585,Farmstead Cheesses & Wines,Farmstead Wine & Cheese,NULL
1586,Fashion Institute,Fashion Institute,NULL
1587,FAST FORWARD,FAST FORWARD,
1588,FCP COMMUNICATIONS,FCP COMMUNICATIONS,
1589,FE Jordan Associates Inc,FE Jordan Associates Inc,NULL
1590,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,NULL
1591,Federal Govt.,Federal Govt.,
1592,Federal Home Loan Bank Of Chicago,Federal Home Loan Bank Of Chicago,
1593,Federal Home Loan Bank Of Pittsburgh,Federal Home Loan Bank Of Pittsburgh,
1594,Federal Home Loan Bank Of San Francisco,Fed Home Loan SF,
1595,Federal Home Loan Bank Of San Francisco,Federal Home Loan Bank Of San Francisco,
1596,Federal Home Loan Bank Of San Francisco,Federal Home Loan Bank San Francisco,
1597,Federal Reserve Bank of San Francisco,Federal Reserve Bank of San Francisco,NULL
1598,Fehr & Peers,Fehr & Peers,
1599,Felton Institute,Felton Institute,
1600,FEMA,FEMA,
1601,Fenton Communications,Fenton,NULL
1602,Fenton Communications,Fenton Communications,
1603,Fern Tiger Associates,Fern Tiger Associates,
1604,Feyerabend & Madden Landscape,Feyerabend & Madden Landscape,NULL
1605,Feyerabend & Madden Landscape,Feyerabend & Madden,NULL
1606,FGW Productions,FGW Productions,
1607,FHL Bank of San Francisco,FH2BSF,
1608,FHL Bank of San Francisco,FHL Bank of San Francisco,
1609,FHL Bank of San Francisco,FHLBSF,
1610,Fidelity & Trust Bank,Fidelity & Trust Bank,
1611,"Fidelity Consulting Group, LLC","Fidelity Consulting Group, LLC",
1612,Field Corporation - SF,Field Corporation - SF,
1613,Fierce Markets,Fierce Markets,
1614,Fillmore Live Entertainment Group,Fillmore Live Entertainment Group,
1615,Fillmore Live Entertainment Group,fillmore live entertainment group,
1616,"Financial Avengers, Inc.","Financial Avengers, Inc.",
1617,"Fine Stone, Inc","Fine Stone, Inc",
1618,Fineis LLC,Fineis LLC,NULL
1619,Firelight Media,Firelight Media,
1620,First 5 Alameda County,First 5 Alameda County,
1621,First 5 Marin,First 5 Marin,
1622,First African Methodist Episcopal Church,First African Methodist Episcopal Church,
1623,First African Methodist Episcopal Church,First AME Church,NULL
1624,First African Methodist Episcopal Church,First AME Church in Oakland,
1625,First Building Maintenance,First Building Maintenance,
1626,First Commercial Bank,First Commercial Bank,NULL
1627,First Covenant Church,First Covenant Church,
1628,First Home Loan Bank of San Francisco,First Home Loan Bank of San Francisco,
1629,First Place for Youth,First Place for Youth,
1630,First Republic Bank,First Republic Bank,
1631,First Republic Investment,First Republic Investment,
1632,Fishbone,Fishbone,
1633,Fisher Investments Insititutional Group,Fisher Investments Insititutional Group,
1634,Fit Clothing,Fit Clothing,
1635,Fitzgerald Abbott & Beardsley LLP,Fitzgerald Abbott & Beardsley LLP,NULL
1636,Fitzgerald Abbott & Beardsley LLP,"Fitzgerald, Abbott & Beardsley",NULL
1637,Fitzgerald Abbott & Beardsley LLP,Fitzgerald Abbott,NULL
1638,Fitzgerald Abbott & Beardsley LLP,Fitzgerald Abbott & Beardsley,NULL
1639,Fitzgerald Abbott & Beardsley LLP,"Fitzgerald, Abbott & Beardsley LLP",
1640,FITZGERALD MILLS FILMS,FITZGERALD MILLS FILMS,
1641,Flaxman Associates,Flaxman Associates,NULL
1642,Floor Sure Interiors,Floor Sure Interiors,NULL
1643,Florida A&M School of Law,Florida A&M School of Law,NULL
1644,Florida Realtors,Florida Realtors,
1645,Fluid,Fluid,
1646,Flynn Architecture,Flynn Architecture,
1647,Flynn Law Office,Flynn Law Office,
1648,FM3,FM3,
1649,"Focon, Inc.","FOCON, Inc",
1650,"Focon, Inc.",Focon Inc.,NULL
1651,"Focon, Inc.","Focon, Inc.",
1652,Focus Advisors,Focus Advisors,
1653,Focus Investment Banking,Focus Investment Banking,NULL
1654,Foothill De Anza Community College District,Foothill De Anza Community College District,
1655,Foothill De Anza Community College District,Foothill-De Anza Community College,
1656,Foothill Square Merchants Association,Foothill Square Merchants Association,
1657,"Forchelli, Curto, Deegan, LLP","Forchelli, Curto, Deegan, LLP",NULL
1658,Forecast Horizon,Forecast Horizon,
1659,Foreign Policy In Focus,Foreign Policy In Focus,
1660,Forest City,Forest City,
1661,Form & Reform,Form & Reform,
1662,Forward Foods LLC,Forward Foods LLC,
1663,Foster Employment Law,Foster Employment Law,NULL
1664,Foster Wheeler,Foster Wheeler,NULL
1665,Fostering Media Connections,Fostering Media Connections,
1666,Founders Den,Founders Den,
1667,Four Corner Payments,Four Corner Payments,
1668,Four Corners Veterinarian Hospital,Four Corners Veterinarian Hospital,NULL
1669,Four Leaf Consulting,Four Leaf Consulting,NULL
1670,Four Seasons Hotels,Four Seasons Hotels,
1671,Fox and Associates,Fox and Associates,
1672,Fox Rothschild,Fox Rothschild,NULL
1673,Foxfile Property Management,Foxfile Property Management,NULL
1674,"FPI Management, Inc.","FPI Management, Inc.",
1675,Fran Slate Property Management,Fran Slate Property Management,
1676,Frances Whiteman Consulting,Frances Whiteman Consulting,
1677,Francis Lan Insurance Agency,Francis Lan Insurance Agency,NULL
1678,Frank Rushton Elementary,Frank Rushton Elementary,
1679,"Frank Silver, Arbitrator","Frank Silver, Arbitrator",NULL
1680,Frank Zeng,Frank Zeng,NULL
1681,Frankie Carlisle,Frankie Carlisle,
1682,Fred Ghassemieh,fred ghassemieh,NULL
1683,Fred Setterberg,Fred Setterberg,
1684,Fred Thompson Executive Search,Fred Thompson Executive Search,NULL
1685,Freedom Now,Freedom Now,
1686,Fremont Bank,Fremont Bank,NULL
1687,Fremont Group,Fremont Group,NULL
1688,Fremont High School,Fremont High School,
1689,Fremont Medical Group,Fremont Medical Group,
1690,FRENCH AMERICAN CHARTER SCHOOL OF THE EAST BAY,FRENCH AMERICAN CHARTER SCHOOL OF THE EAST BAY,
1691,FreshPay,FreshPay,
1692,"Fried & Williams, LLP","Fried & Williams, LLP",
1693,Friedkin Investment Co.,Friedkin Investment Co.,
1694,"Friedman, Fleischer & Lowe","Friedman, Fleischer & Lowe",
1695,Friendly Transportation,Friendly Transportation,NULL
1696,Friends of Dewitt for Oakland City Council 2012,Friends of Dewitt for Oakland City Council 2012,
1697,Friends of Make Oakland Better Now!,Friends of Make Oakland Better Now,
1698,Friends of Make Oakland Better Now!,Friends of Make Oakland Better Now!,
1699,Friends of Michael Blake,Friends of Michael Blake,
1700,Friends of Nyeisha Dewitt for City Council 2012,Friends of Nyeisha Dewitt for City Council 2012,
1701,Friends of Oakland Public Schools for Measure J,Friends of Oakland Public Schools for Measure J,
1702,Friends of Oakland Public Schools for Measure J,FRIENDS OF OAKLAND PUBLIC SCHOOLS FOR MEASURE N,
1703,Friends of Oakland Public Schools for Measure N,Friends of Oakland Public Schools for Measure N,
1704,Friends of Sheila Jordan No 972186,Friends of Sheila Jordan No 972186,
1705,Friendship Christian Center,Friendship Christian Center,NULL
1706,Frimpxt Transportation,Frimpxt Transportation,
1707,Fritolay inc.,Fritolay inc.,NULL
1708,Fruits of Labor,Fruits of Labor,
1709,Fruitvale Villas,Fruitvale Villas,
1710,Fryer Consulting,Fryer Consulting,
1711,FSCG,FSCG,NULL
1712,FSG,FSG,
1713,FTI  Consulting,FTI  Consulting,
1714,Full Court Press,Full Court Press,
1715,Full Court Press Communications,Full Court Press Communications,NULL
1716,Full Gospel Church of God in Christ,Full Gospel Church of God in Christ,NULL
1717,Funding One,Funding One,
1718,"Furtado, Jaspovice & Simmons","Furtado, Jaspovice & Simmons",
1719,Fusion Forte,Fusion Forte,NULL
1720,G & R Associates,G & R Associates,NULL
1721,"G. Turner and Associates, LLC","G. Turner & Associates, LLC",NULL
1722,"G. Turner and Associates, LLC","G. Turner and Associates, LLC",
1723,"G.A. Sturtevant No. 1, Inc.","G.A. Sturtevant No. 1, Inc.",
1724,Gabriel Escobar,Gabriel Escobar,
1725,Gail Murray fro BART Board,Gail Murray fro BART Board,
1726,GALILEO LEARNING,GALILEO LEARNING,
1727,"Gallagher & Burk, Inc.","Gallagher & Burk, Inc.",
1728,Gallagher Properties,Gallagher Properties,
1729,Galvan and Associates,Galvan and Associates,NULL
1730,Gap Inc.,Gap,
1731,Gap Inc.,Gap Inc.,NULL
1732,Gap Inc.,gap inc.,
1733,Gap Inc.,"Gap, Inc.",
1734,"Garcia Hernandez Sawhney & Bermudez, LLP","Garcia Hernandez Sawhney & Bermudez, LLP",
1735,Gartner Inc.,Gartner Inc.,
1736,Gatan Inc,Gatan,NULL
1737,Gatan Inc,GATAN INC,
1738,Gatan Inc,Gatan Inc,
1739,"GateChina, Inc.","GateChina, Inc.",NULL
1740,Gateman & Wathcmen's Union ILWU Local 75,Gateman & Wathcmen's Union ILWU Local 75,Union
1741,Gateway Bank,Gateway Bank,
1742,Gateway Commercial,Gateway Commercial,
1743,Gawthorne Enterprises,Gawthorne Enterprises,NULL
1744,Gay and Lesbian Victory Fund Committee To Support Rebecca Kaplan for City of Oakland Mayor 2014,Gay and Lesbian Victory Fund Committee To Support Rebecca Kaplan for City of Oakland Mayor 2014,PAC
1745,GCA Savvian,GCA Savvian,
1746,GCB Realty,GCB Realty,NULL
1747,GDeS Architecture,GDeS Architecture,
1748,GDML,GDML,NULL
1749,Geald Cauthen,Geald Cauthen,
1750,Gee How Oak Tin Assn,Gee How Oak Tin Assn,NULL
1751,Geekatoo.com,Geekatoo.com,
1752,Genentech,Genentech,
1753,Genentech,"Genentech, INC",
1754,General Dynamics OTS,General Dynamics OTS,
1755,General Electric,General Electric,NULL
1756,General Foundry Service Corp.,General Foundary,NULL
1757,General Foundry Service Corp.,General Foundry Service Corp.,
1758,General Supply Company,General Supply Company,
1759,General Welding Supply,General Welding Supply,NULL
1760,Genevieve Katz,Genevieve Katz,NULL
1761,Genex Services,Genex Services,NULL
1762,Genisis Worship Center,Genisis Worship Center,
1763,Genix Healthcare,Genix Healthcare,NULL
1764,"Genomic Health, Inc","Genomic Health, Inc",
1765,GenOn Energy Inc,GenOn Energy Inc,
1766,GENSLER,GENSLER,
1767,Gensler-SF,Gensler-SF,
1768,Geoffrey W. Semans,Geoffrey W. Semans,
1769,"George E. Masker, Inc.","George E. Masker, Inc.",NULL
1770,George Krevsky Gallery,George Krevsky Gallery,
1771,George Lewinski,George Lewinski,
1772,Georgetown University Hospital,Georgetown University Hospital,NULL
1773,Georgia Association for Primary Health Care,Georgia Association for Primary Health Care,
1774,Gerald Cauthen & Associates,Gerald Cauthen & Associates,NULL
1775,GGSV,GGSV,
1776,Ghilotti Construction Co.,Ghilotti Construction Co.,
1777,Ghirardelli Chocolate Co,Ghirardelli Chocolate Co,
1778,"Gibson, Dunn & Crutcher LLP","Gibson, Dunn & Crutcher LLP",
1779,Gilbraith,Gilbraith,
1780,Gillibrand for Senate,Gillibrand for Senate,
1781,Gilmore for Mayor 2014,Gilmore for Mayor 2014,
1782,Gilroy Plaza Dental,Gilroy Plaza Dental,
1783,Giovanna Tanzillo,Giovanna Tanzillo,
1784,Girls Inc of the Island City,Girls Inc of the Island City,
1785,GIRLS INC. OF ALAMEDA COUNTY,GIRLS INC. OF ALAMEDA COUNTY,
1786,GISTICS Inc.,GISTICS Inc.,
1787,Give2Asia,Give2Asia,
1788,Gizmo Global,Gizmo Global,NULL
1789,Glaser Weil Fink Jacobs Howard Avchen & Shapiro LLP,Glaser Weil Fink Jacobs Howard Avchen & Shapiro LLP,
1790,Glaze Electric,Glaze Electric,
1791,"Glenn Insurance, Inc.","Glenn Insurance, Inc.",
1792,Global Real Estate,Global Real Estate,
1793,Global Technology Solutions Group/International Business Machines Corporation,Global Technical Services Group/IBM,NULL
1794,Global Technology Solutions Group/International Business Machines Corporation,Global Technology Solutions Group/IBM,NULL
1795,Global Technology Solutions Group/International Business Machines Corporation,Global Technology Solutions Group/International Business Machines Corporation,
1796,"GMB Realty Partners, Inc.","GMB Realty Partners, Inc.",
1797,GO LEADERSHIP CENTER,GO LEADERSHIP CENTER,
1798,GO PUBLIC SCHOOLS,GO PUBLIC SCHOOLS,
1799,GO-PAC Sponsored by  FPPC# 1331137,GO-PAC Sponsored by  FPPC# 1331137,PAC
1800,GoCoin,GoCoin,
1801,Going Green with AC Green,Going Green with AC Green,NULL
